"Week","Year_Tank","Abundance","scAbundance","Recipient"
14,"2018_Pent2",6,-0.0126250925360646,"Roti1"
16,"2018_Pent2",0,-1.19319431220275,"Roti1"
18,"2018_Pent2",9,0.20376694408743,"Roti1"
20,"2018_Pent2",5,-0.10614716388304,"Roti1"
NA,"2018_Pent2",NA,NA,"Roti1"
2,"2018_Joint1",23,0.734907317964523,"Roti1"
4,"2018_Joint1",39,1.04482142593499,"Roti1"
6,"2018_Joint1",13,0.407902148387717,"Roti1"
8,"2018_Joint1",4,-0.216760296836352,"Roti1"
10,"2018_Joint1",0,-1.19319431220275,"Roti1"
12,"2018_Joint1",2,-0.526674404806822,"Roti1"
14,"2018_Joint1",0,-1.19319431220275,"Roti1"
16,"2018_Joint1",1,-0.772667071278966,"Roti1"
18,"2018_Joint1",6,-0.0126250925360646,"Roti1"
20,"2018_Joint1",8,0.139845502589103,"Roti1"
NA,"2018_Joint1",NA,NA,"Roti1"
2,"2018_Joint2",14,0.449759610559573,"Roti1"
4,"2018_Joint2",72,1.40979553134533,"Roti1"
6,"2018_Joint2",41,1.07442205578364,"Roti1"
8,"2018_Joint2",61,1.31070743412281,"Roti1"
10,"2018_Joint2",17,0.560372743512885,"Roti1"
12,"2018_Joint2",15,0.48891465149238,"Roti1"
14,"2018_Joint2",0,-1.19319431220275,"Roti1"
16,"2018_Joint2",0,-1.19319431220275,"Roti1"
18,"2018_Joint2",2,-0.526674404806822,"Roti1"
20,"2018_Joint2",6,-0.0126250925360646,"Roti1"
NA,"2018_Joint2",NA,NA,"Roti1"
2,"2019_Cont1",0,-1.19319431220275,"Roti1"
4,"2019_Cont1",0,-1.19319431220275,"Roti1"
6,"2019_Cont1",21,0.68211816247107,"Roti1"
8,"2019_Cont1",4,-0.216760296836352,"Roti1"
10,"2019_Cont1",3,-0.352139830355184,"Roti1"
12,"2019_Cont1",0,-1.19319431220275,"Roti1"
14,"2019_Cont1",0,-1.19319431220275,"Roti1"
16,"2019_Cont1",3,-0.352139830355184,"Roti1"
18,"2019_Cont1",36,0.997522738366304,"Roti1"
20,"2019_Cont1",0,-1.19319431220275,"Roti1"
NA,"2019_Cont1",NA,NA,"Roti1"
2,"2019_Cont2",0,-1.19319431220275,"Roti1"
4,"2019_Cont2",0,-1.19319431220275,"Roti1"
6,"2019_Cont2",4,-0.216760296836352,"Roti1"
8,"2019_Cont2",0,-1.19319431220275,"Roti1"
10,"2019_Cont2",3,-0.352139830355184,"Roti1"
12,"2019_Cont2",0,-1.19319431220275,"Roti1"
14,"2019_Cont2",11,0.314380077040742,"Roti1"
16,"2019_Cont2",7,0.068387410568598,"Roti1"
18,"2019_Cont2",0,-1.19319431220275,"Roti1"
20,"2019_Cont2",0,-1.19319431220275,"Roti1"
NA,"2019_Cont2",NA,NA,"Roti1"
2,"2019_Fipro1",1,-0.772667071278966,"Roti1"
4,"2019_Fipro1",3,-0.352139830355184,"Roti1"
6,"2019_Fipro1",0,-1.19319431220275,"Roti1"
